127.0.0.1 - - [05/Oct/2022:09:57:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Oct/2022:09:57:38 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [05/Oct/2022:09:58:18 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [05/Oct/2022:09:58:38 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 500 2338
0:0:0:0:0:0:0:1 - - [05/Oct/2022:09:59:00 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 500 2332
0:0:0:0:0:0:0:1 - - [05/Oct/2022:09:59:28 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 500 2332
0:0:0:0:0:0:0:1 - - [05/Oct/2022:09:59:40 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 500 2297
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:00:20 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:00:25 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:31:16 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:32:27 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:32:33 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:32:35 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:33:47 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:35:16 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:35:21 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:35:22 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:35:23 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:36:58 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:37:17 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:37:23 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:37:29 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:37:31 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:44:14 +0900] "GET /jspbook/ch05/login.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:44:17 +0900] "POST /jspbook/ch05/selProduct.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:44:20 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:44:24 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:44:27 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:44:31 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:44:33 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:44:35 +0900] "GET /jspbook/ch05/clear.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:44:37 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:45:40 +0900] "GET /jspbook/ch05/login.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:45:42 +0900] "POST /jspbook/ch05/selProduct.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:45:44 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:45:50 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:45:54 +0900] "GET /jspbook/ch05/clear.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:45:56 +0900] "GET /jspbook/ch05/clear.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:45:58 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:46:01 +0900] "POST /jspbook/ch05/selProduct.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:46:02 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:46:05 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:46:07 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:54:15 +0900] "GET /jspbook/ch05/login.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:54:17 +0900] "POST /jspbook/ch05/selProduct.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:54:19 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:54:23 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:55:39 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:58:50 +0900] "GET /jspbook/ch05/add.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:58:54 +0900] "GET /jspbook/ch05/login.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:58:56 +0900] "POST /jspbook/ch05/selProduct.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:58:57 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:59:10 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:59:12 +0900] "GET /jspbook/ch05/clear.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:01:01 +0900] "GET /jspbook/ch05/login.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:01:04 +0900] "POST /jspbook/ch05/selProduct.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:01:05 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:01:07 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:02:27 +0900] "GET /jspbook/ch05/login.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:02:29 +0900] "POST /jspbook/ch05/selProduct.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:02:31 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:02:32 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:02:36 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:02:38 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:02:39 +0900] "GET /jspbook/ch05/clear.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:02:41 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:03:11 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:03:13 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:03:22 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:03:24 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:03:40 +0900] "GET /jspbook/ch05/clear.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:03:43 +0900] "GET /jspbook/ch05/checkOut.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [05/Oct/2022:11:04:08 +0900] "POST /jspbook/ch05/add.jsp HTTP/1.1" 200 193
